title,slug,city,state,description,price,category
"Best Plumber in Austin","best-plumber-austin","Austin","Texas","Top-rated plumbing services in Austin, TX. Available 24/7 for emergencies.",99,"Services"
"Roof Repair Dallas","roof-repair-dallas","Dallas","Texas","Professional roof repair and installation in the Dallas metro area.",149,"Services"
"Dog Grooming NYC","dog-grooming-nyc","New York","New York","Premium dog grooming salon in Manhattan. Book your appointment today.",75,"Pets"
"Yoga Classes Chicago","yoga-classes-chicago","Chicago","Illinois","Join beginner and advanced yoga classes in downtown Chicago.",25,"Fitness"
"Wedding Photography LA","wedding-photography-la","Los Angeles","California","Capture your special day with our award-winning wedding photographers.",2500,"Events"
"Italian Restaurant Miami","italian-restaurant-miami","Miami","Florida","Authentic Italian cuisine in the heart of Miami Beach.",35,"Food"
"Car Detailing Seattle","car-detailing-seattle","Seattle","Washington","Mobile car detailing service. We come to you anywhere in Seattle.",120,"Automotive"
"Math Tutoring Boston","math-tutoring-boston","Boston","Massachusetts","Expert math tutoring for high school and college students.",60,"Education"
"House Cleaning Denver","house-cleaning-denver","Denver","Colorado","Eco-friendly house cleaning services in the Denver area.",85,"Services"
"Personal Trainer SF","personal-trainer-sf","San Francisco","California","Certified personal trainer offering in-home and gym sessions.",90,"Fitness"
